d4: -26.0096, 2.6359, -5.21105
d1: -34.2108, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -34.369, 4.8768, -7.18527
d4: -26.0096, 2.65159, -5.18593
d1: -34.1772, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -34.3389, 4.8768, -7.20003
d4: -26.0096, 2.66938, -5.15747
d1: -34.1458, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -34.3106, 4.8768, -7.21386
d4: -26.0096, 2.68604, -5.13082
d1: -34.1109, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -34.2794, 4.8768, -7.22918
d4: -26.0096, 2.7045, -5.10128
d1: -34.0797, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -34.2513, 4.8768, -7.24293
d4: -26.0096, 2.72107, -5.07477
d1: -34.0443, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -34.2195, 4.8768, -7.2585
d4: -26.0096, 2.73983, -5.04475
d1: -34.0113, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -34.1899, 4.8768, -7.273
d4: -26.0096, 2.75731, -5.01679
d1: -33.9762, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -34.1583, 4.8768, -7.28846
d4: -26.0096, 2.77593, -4.98699
d1: -33.9446, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -34.13, 4.8768, -7.30232
d4: -26.0096, 2.79263, -4.96027
d1: -33.9096, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -34.0986, 4.8768, -7.31772
d4: -26.0096, 2.81118, -4.93059
d1: -33.8784, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -34.0706, 4.8768, -7.33145
d4: -26.0096, 2.82773, -4.90412
d1: -33.8473, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -34.0426, 4.8768, -7.34514
d4: -26.0096, 2.84422, -4.87773
d1: -33.8105, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -34.0096, 4.8768, -7.36131
d4: -26.0096, 2.8637, -4.84655
d1: -33.7795, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -33.9817, 4.8768, -7.37496
d4: -26.0096, 2.88015, -4.82023
d1: -33.7449, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -33.9506, 4.8768, -7.3902
d4: -26.0096, 2.89851, -4.79086
d1: -33.7139, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -33.9228, 4.8768, -7.40384
d4: -26.0096, 2.91495, -4.76456
d1: -33.6808, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -33.893, 4.8768, -7.4184
d4: -26.0096, 2.93249, -4.73649
d1: -33.6495, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -33.8649, 4.8768, -7.43215
d4: -26.0096, 2.94907, -4.70997
d1: -33.6162, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -33.835, 4.8768, -7.44681
d4: -26.0096, 2.96673, -4.68171
